m.a.	sítil dømis
merkiskvinna	síavtakafólk
merkismaður	síavtakafólk,býttlingur
merkistilburður	síeindømi,hending
merkisverdur	síáhugaverdur,óvanligur
merkja	sífrámerkja,upplivaSamheiti:ímynda,siga,sæta,týða,verahava at siga, týða;hava tann týdning;meinast við;bera boð um, boða;týða á;vera ímynd fyri;vera tað sama sum;□í merkingini;tað er...;tað er at skilja soleiðis at...;tað vil siga;t.e., t.v.s.;við tí meinast...↔merking
merkjasøla	síhandilsskapur
merlingur	sípinkulingur,seyður
merna	sírotna
mernaður	sírotin
merross	síross
mesanmastur	símastur
mesanur	sísegl
meska	síhonk,skoyta
meski	síhonk
meskur	síhonk
messa	síkirkjugangur,syngja
messari	síknívur,sangari
messi	sísangari
Messias	síJesus
messingarhongsl	síhongsl
messingseymur	sínagli
messuboð	síboðan
messufall	síavboð
messufólk	síaltarsfólk
messugestur	síaltarsfólk
messuklæði(r)	síklæði(r)
messuskari	síaltarsfólk
messuskrúð	síklæði(r)
mestamark	símark
mestan	síkanska
mestavirði	símark
mestin	síkanska
mestsum	sínæstan
mestur	síkanska
met	síheiður,mikilleiki,virðingSamheiti:heimsmetbesta avrik, úrslit;egið met, eins egna met;flest stig, hægsta stigatal;føroyskt met↔heiðursløn,óvinniligur,roysnisgerð,sigra,sigur,vinnari
meta	síkanna,meina
metan	síáskoðan,meting
metanarvirði	sídygd
metast	sískeldast
metár	síinnløgutíð
meti	sínøgd
meting	síáskoðan,ummæliSamheiti:ársmet,endurmeting,gitan,giting,gjøtl,góðskumeting,jarðarmeting,jarðmeting,kostnaðarmeting,kostnaðarætlan,metan,nýmeting,prísáseting,skaðameting,støðumet,tilgitan,tilgiting,tilhugsan,tykki,tykkja,undirmeting,virðismetan,virðismeting,yvirmeting,ætl,ætlan,ætlingfyribils útrokning;leyslig meting;nøkulunda útrokning↔kanna,meina,teinkja,ummæli,virðismettur
metingarbyrði	síbyrði
metingarmaður	sígagnmetari
metingarsamur	síøvundsjúkur
metingarvirði	sídygd
metorð	síummæli
metramál	símátingarband
metravøra	sívøra
metstórur	símikil
metsølubók	sískriv
metta	símata,matur,nøkta,teppiSamheiti:vera mettandigagnast væl;gera mettan;geva e-m mettuna;liggja leingi á;liggja (so) væl á;metta leingi;metta so væl;sita væl á;standa (so) væl í gørnunum↔eta,matur,mettur
mettaður	síjavnstrokin
mettast	sívamlast
mettleiki	sívælnøgd
mettligur	símettur,svangur
mettur	sívirðismetturSamheiti:bjargin,bjølgmettur,eggjamettur,eggmettur,grasfullur,hálvmettur,hálvsvangur,kíkmettur,mettligur,ovmettur,ovurmettur,proppaður,proppmettur,steinmettur,steinstappaður,uppfyltureggjandi, dýrandi, stappandi, steinstappandi mettur;fullur, fyltur, mettur (upp) undir angarnar, krikan, tindina;mettur og væl settur;við fullum maga;○sum hevur etið seg yvir rygg(in), ovetið seg;□nú hevur hann fingið kravan, fingið krava sín↔eta,etandi,javnstrokin,matur,metta,ótysturAndheiti:svangur
meyka	sídreiva,endurtaka,ganga,taða
meykaður	síblandaður
meykast	síletast
meykutur	síkravmikil
meyl	síendurtøka,gremjan,møsnari
meyla	síbiðja,endurtaka,gremja seg
meylan	síendurtøka,gremjan
meylutur	síkravmikil
meyrus	sífuglur
middagslega	síhvíld,lega
middagsleiti	símorgun
middagsmund	símorgun
middagsringur	síringur
middagsvarði	sívarði
middagur	símorgun
middegi	símorgun
midnátt	sídimmi
midnáttarframførsla	síframsýning
midnáttarmessa	síkirkjugangur
midnáttarmyrkur	símyrkur
midnáttarsýning	síframsýning
mið	síendamál,fiskileið
miða	sípeika,ýta
miðadýr	sífiskur
miðafiskur	sífiskur
miðal	síleiðbeining
miðalaldur	sílívstíð
miðalár	sílívstíð
miðaldarborg	síbygningur
miðaldarkendur	síavlagdur
miðaldarligur	síavlagdur
miðaleið	sífiskileið
miðalfiskur	sífiskur
miðalhiti	síhiti
miðalhædd	síhædd
miðalhøgur	síhøgur
miðaljóst	síljósglæma
miðalkostnaður	síprísur,útreiðsla
miðallamb	síseyður
miðallívstíð	sílívstíð
miðalprísur	síprísur
miðaltoskur	sífiskur
miðalvarping	síorð
miðalvirði	síprísur
miðalýsi	síljósglæma
miðamaður	sísjómaður
miðatoskur	sífiskur
miðbekkur	sísessur
miðboya	síbløðra
miðbróðir	sískyldfólk
miðbylgja	síbylgjulongd
miðbýur	síbýur
miðfirra	sístroya
miðfirring	síspjaðing
miðfjarur	Samheiti:ósammiðjaður,uttanhjartaður
miðfjørður	sífjørður
miðframherji	síatsóknarmaður
miðgekkur	sískarð
miðhav	sífiskileið
miðhavsleið	sífiskileið
miðherji	síatsóknarmaður
miðhiti	síhiti
miðhválv	síhimmalhválv
miðhædd	síkjallarahædd
miðil	síboðberi,leiðbeining
miðja	sílikam
miðjuband	síbandSamheiti:belti,beltisband,beltisgyrði,brókabelti,buksuband,buksureim,hungursband,konubelti,leðurbelti,leðurreim,miðjubelti,miðjureim,reim,roðbuksuband,silvurbelti,slíðraband,spangabelti,sprotabelti,stuðlabelti,sylgjureim
miðjubelti	símiðjuband
miðjuboya	síbløðra
miðjuhvítur	sílitaður
miðjukíkur	síbløðra
miðjuleingja	síhúð
miðjulutað	síseyðamark
miðjureim	símiðjuband
miðjustórur	síhovin
miðjutak	sítak
miðjutjúkkur	síhovin
miðkringur	síringur
miðkuril	sílikam
miðkut	sílikam
miðleingja	síhúð
miðleingjuskøði	síhúð
miðliður	síliður
miðlingabarn	síbarn
miðlingabeiggi	sískyldfólk
miðlingabróðir	sískyldfólk
miðlingadóttir	sískyldfólk
miðlingafiskur	sífiskur
miðlingalamb	síseyður
miðlingapartur	sípartur
miðlingaseyður	síseyður
miðlingasíl	sífiskur
miðlingasonur	sískyldfólk
miðlingasystir	sískyldfólk
miðlingatoskur	sífiskur
miðlingur	sískyldfólk
miðlinja	símark
miðlittur	sílitaður
miðlunnur	sílunnur
miðnámsskúli	sískúli
miðnámsútbúgving	sískúlagongd
miðnátt	sídimmi
miðnervalag	sísansingargagn
miðnevnd	sívald
miðpetti	sílikam
miðrað	síriðil
miðringur	síringur
miðrók	sírók
miðsavna	sísamla
miðsavning	sísamanlegging
miðseyður	síseyður
miðstova	síhøli
miðstykki	sílikam
miðstætt	sísamfelagsstætt
miðstøðarhiti	síhiti
miðvað	síbrúgv
miðvíst	síavvitandi
miðvísur	síreglubundin
miðæðr	síæðr
mikið	síhvaðna,ógvuliga
mikil	síhábærsligur,nógvur,ræðandiSamheiti:almikil,alstórur,frávaksin,frekur,grovur,markleysur,metstórur,ovurmikil,ovurstórur,ovurvaksin,óførur,ógemeinur,ómátaligur,ómetaligur,ómetiligur,serstórur,stakstórur,stórmikil,stórur,veldigur,yvirvaksin,øgiligur,øguligur,øtiligurómetaliga, ónatúrliga stórur↔førligur,høgur,krykja,langur,langvaksin,máldrúgvur,mikilleiki,nógvur,nøgd,ólýsandi,prúður,rúmligurAndheiti:smáur
mikilleiki	Samheiti:aðallyndi,hugprýði,manndómur,mekt,met,myndugleiki,mæti,stórbæri,stórfingni,stórhugur,stórleiki,stórlyndi,stórlæti,stórmenska,stórsinni,veldi,virðileiki,víðskygni,víðsýnigøvugt lyndi↔frælslyndi,hábærsliga,hábærsligur,heiður,lovorð,mikil,vald,virðingAndheiti:undirlutakensla
mikilsti	síógvuliga
mikilsverdur	sídygdargóður,dýrur
mikkjalsmessuaftan	síaftan
mikkjalsmessudilkur	símatur
mikkjalsmessufundur	sífundur
mikkjalsmessumøti	sífundur
mikkjalsmessurotur	síregn
mikla	síendurtaka
mikrofon	síljóðfatur
miksari	sírøritól
milda	síhita
mildan	síyndisliga
mildi	síblídni
mildiliga	síyndisliga
mildleiki	síblídni
mildliga	síyndisliga
mildni	síblídni
mildoygdur	sígóðsintur
mildur	sígóðsintur,heitur,hjálpsamur,tolin
milliardingur	síríkmaður
millióningur	síríkmaður
millum	Samheiti:ímillum,sínámillumhvør við annan;mitt ímillum;teirra millum(blant)íbland,ímillum,millum,uppiíí teirra hópi, parti, tali o.fl.;millum fólk, javnaldrar, javnlíkar, menn o.fl.;millum hinar, nakrar;saman við (øðrum);teirra millum;uppi í øðrum(sínámillum)innanborða,innanborðs,innanfelags,innanfloks,innanhúsa,innanhýsis,innantings,innanættar↔blandaður,blandast,blandingur,dreiva,heima
millumbil	síglopp,løta,tíðarskeið
millumbláur	sílitaður
millumbroddur	síull
millumbylgja	síbylgjulongd
millumfiskur	sífiskur
millumgarður	sígarður
millumgerð	síveggur
millumgonga	síuppílegging
millumgongumaður	sísemingsmaður
millumlandahandil	síhandilsskapur
millumlandasigling	sísigling
millumlandastevna	sífundur
millumlenda	sílenda
millumlending	síkoming
millumliður	síkeypmaður,liður
millumlitur	sílittóni
millummaður	síkeypmaður,semingsmaður
millummanna	Samheiti:á fólkatungu,í fólkaeygum,í mannaeygum,manna millumav, á, í mannamunni;á, í fólkamunni;í bygdini, býnum;millum fólk;□hann varð fyri mannarópi↔frættast,nevna
millummálari	símatur
millummáli	símatur
millumnavn	sínavn
millumpartabátur	sísjófar
millumrokning	sískuld,útrokning
millumrúm	síglopp
millumsending	sísending
millumskuggi	sílittóni
millumskúli	sískúli
millumtinganevnd	sívald
millumtjóðahandil	síhandilsskapur
millumtjóðasamráðingar	sítinging
millumtjóðastevna	sífundur
millumvertur	sívertur
millumætt	síættir
milt	síyndisliga
mina	síbumba
minka	sífækka,kuta,lætta,maka,slakna,smækka,søkka,tømastSamheiti:dovna,dólgast,dósna,dulla,dullast,dvína,falla,fána,hjadna,hjána,hvøkka,kalna,kólna,leggjast út,lækka,skerda,skerja,solka,styttast,svinna,viknadovna, doyggja, fána burtur (so líðandi);draga av, burtur, frá;firrast burtur;fjara av, burtur;ganga frá, undan;gerast lágur, lægri, lítil, minni, stuttur stytri o.fl.;kalna, kólna burtur;vera fallandi(minka e-t)avmarka,lækka,skerda,skerja,styttagera lágan, lítlan, lægri, minni, stuttan, stytri o.fl.;klípa burturav;minka um e-t;skarva av e-m;taka av e-m(fínkast)mjækka,mjækkast,smalka,smalkast,tynka,tynna,tynnastgerast mjáur, mjærri, smalari, smalur, tunnur, tynri o.fl.(fínka e-t)mjækka,smalka,tynka,tynnagera mjáan, mjærri, smalan, smalri, tunnan tynri o.fl.(tódna)hvøkkafara upp í klett;tódna upp í bøkk, klett↔enda,fækka,krympast,maka,rakfallin,slakna,smækka,svunnin,tømast
minkaaling	sídjórahald
minkaður	sísamankomin,svunnin
minka e-t	síminka
minkan	síeyðmýking,minking
minkandi	Samheiti:burturgangandi,dalandi,doyggjandi,fallandi,fjarandi,hvørvandi,linkandi,lækkandi,setandi,slóknandi,svinnandi,viknandi(batnandi)kyrrandi,lygnandi,slætnandifánandi burtur;í linking, lækking, minking↔skerja,smáur,søkkaAndheiti:vaksandi
minking	Samheiti:afturferð,afturgonga,afturgongd,afturstig,avmarkan,avmarking,avskarving,avskriving,avstøka,bakkast,dvíning,fall,fán,fáningur,fækkan,hóttafall,hvøkkur,keikur,lækkan,lækking,lønarlækkan,lønarlækking,minkan,minkur,niðurgangur,niðurgonga,niðurgongd,niðurskriving,niðurskurður,príslækkan,príslækking,skamtan,skerjing,slysn,slysni,stoytur,svinn,virðislækkan,virðisminkan(avsláttur)nøgdaravslátturfáningur kom á hann;hvokkin er hann Grímur á skóg;□tað var høgg í borðsenda hjá honum↔hall,lorka burtur,missur,trótaAndheiti:vøkstur
minkingarorð	síorð
minkur	síeyðmýking,minking,pinkulingur
minnast	síillminnastSamheiti:hóma,huga,muna,ørminnastbera í minni;hava eina minning um e-t, minni um e-r;koma at hugsa um, at minnast, koma í tankar um;koma á (e-t);minnast aftur, aftur á, á, til;vera ítonktur, minnisgóður, minnissamur;ørminnast um e-t;□e-m hugar at...;e-r hómast at..., ørminnist at...;e-t minnir e-n;e-t dettur, flýgur, kemur, rennur, skjýtst e-m í hug(a)(n), minni(ð);e-t dettur, kemur, rennur e-m í tankar, til hugs;e-t kemur, rennur fram fyri e-n;e-t rennur e-m í tankarnar;tað liggur mær fyri enn(hava gott minni)hava ravnaminni t.e. minnast væl (aftur)(minna seg á)draga, leita fram í, úr huganum, minninum;goymsa eftir e-m;líta aftur um bak;minnast aftur á;royna at koma(st) á e-t, eftir e-m (gloymdum);royna at mana e-t fram (í minninum);royna at minnast (aftur)(leggja sær í geyma)duga e-t, kunna uttan at hyggja í bók, duga, kunna e-t raðið, uttan á fingrunum, uttanat;goyma, varðveita í huganum, minninum;hava í huga;leggja sær í goyma, huga, minni;minnast til at...;□tað liggur raðið fyri hjá honum(ganga við í tonkunum)blíva við at minnast e-t;hava í tonkunum;ikki fáa úr huganum, tonkunum;ikki kunna gloyma e-t;□e-t festir seg í huganum, hongur við, kann ikki gloymast;e-t melur í e-m;e-t melur í høvdinum á e-m;tað gongur mær ikki at gloymi, úr huga(num)(hugfesta seg)lærastfesta seg í huganum, minninum;hanga við;leggjast í geyma↔afturhorvandi,afturkensla,kenna mun á,minning,minnismerkiAndheiti:gloyma
minni	síminning,minnismerki
minniligur	síáhugaverdur
minnilutakensla	síundirlutakensla
minnilutamál	sítungumál
minnilutastjórn	sívald
minnilutauppskot	síuppskot
minnimanskensla	síundirlutakensla
minnimansstøða	sívandi
minnin	síhevnisøkin
minning	síhátíð,veitsluhaldSamheiti:afturminning,barnaminni,barndómsminni,endurminning,ferðaminni,fólkaminni,íminning,lívsminni,minni,minnisbrot,sjónminni,ungdómsminnigóð, ring minni;tað ein minnist(evni at minnast)minni,fólkaminni,ravnaminni,sjónminni,sjónnæmi,ørminni,ørminninggott, ringt minni↔afturhorvandi,afturkensla,minnast,minnismerki
minningardagur	síhátíð,minnismerki
minningargudstænasta	síhátíð,kirkjugangur,minnismerki,veitsluhald
minningarhald	síhátíð,minnismerki,veitsluhald
minningarhátíð	síhátíð,minnismerki
minningarorð	síámæli,minnismerki
minningarrit	síámæli,frásøgn,minnismerki
minningarsamur	síhevnisøkin
minningarveitsla	síhátíð,minnismerki
minnisblað	síyvirlit
minnisbók	síminnismerki,yvirlit
minnisbrot	síminning
minnisdagur	síhátíð,minnismerki
minnisgrein	síámæli,frásøgn,minnismerki
minnisgripur	síminnismerki
minnishalda	síhátíðarhalda
minnishátíð	síhátíð,minnismerki
minnislepi	síyvirlit
minnisleysur	sígloymskur
minnisloysi	sígloymska
minnislutur	síminnismerki
minnismerki	Samheiti:beytasteinur,fólkaminni,gravkrossur,gravsteinur,krossur,kuml,legsteinur,líksteinur,minni,minnisgripur,minnislutur,minnispeningur,minnissteinur,minnissúla,minnistalva,minnisvarði,obeliskur,tjóðminni(minningarhald)minningargudstænasta,minningarveitsla(minningarorð)minningarrit,minnisbók,minnisgrein,minnisrit,minnisútgáva(minningardagur)minningarhátíð,minnishátíð,minnisdagur(áminning)áminnilsi,minni↔afturhorvandi,ámæli,minnast,minning
minnispeningur	síminnismerki
minnisrit	síámæli,frásøgn,minnismerki
minnisríkur	síáhugaverdur
minnissamur	síhevnisøkin
minnisskittur	síeftirbátur
minnisskítur	síeftirbátur
minnissteinur	síminnismerki
minnissúla	síminnismerki
minnistalva	síminnismerki
minnisútgáva	síminnismerki,útgáva
minnisvarði	síminnismerki
minnisverdur	síáhugaverdur
minniverdur	síbíligur,dygdarleysur
minnivirðiskensla	síundirlutakensla
minstaløn	sígjald
minstavirði	sídygd
mintafuglur	sífuglur
mintur	síafturpartur
minublíður	sígóðsintur
minukrút	síbumba
minuleið	sístað
minus	síbrek
minuætt	sívindur
minuøki	sístað
mirakul	síundurverk
miriliga	sísára
mirlingur	sípinkulingur
misálit	síivasemi
misálitisváttan	símótmæli
misálitsváttan	símótmæli
misár	sívánatíð
misbjóða	síeyðmýkja,hugsæra,spotta
misbjóðing	síeyðmýking,svik
misboð	síeyðmýking,svik
misboðin	sívreiður
misbrot	síbrotsverk
misbrotamaður	síbrotsmaður
misbrotsmaður	síbrotsmaður
misbrúk	síoyðslusemi
misbrúka	síkradda,oyðsla burtur
misbrúkari	síoyðslari
misburður	sífostur
misbýta	síbýta,svika
misbýti	síbýti
misbýttur	sísvika
miseydna	síólagna
miseydnast	Samheiti:bresta,gleppa,kiksa,leypast,misfarast,mishepnast,mislukkast,svíkja,tríkirnastarta, fanta, hátta, legna seg illa;bera, falla, ganga, koma illa í lag;detta, doyggja burtur;detta niðurfyri;doyggja í egginum;enda galið, illa;enda í ongum;eydnast, faktast, gegnast, gignast, hepnast, lukkast, skerast illa;falla, gleppa niðurfyri;fara (aftur) í ommu sína;fara framvið;fara fyri bakka;fara, ganga fyri skeytið, skeytir;fara illa;fáa (ein) bráðan, ljótan, ringan o. fl. enda;fáa, taka ein galnan enda;frukta illa;ganga illa í hond;ganga illa, seint, spakuliga, trekliga, trekt;gangast illa;ganga striltið við e-m;ganga úr hond;gera skálk;gerast til einki;geva vánaligt úrslit;hilnast, legnast, roynast, standast, vignast illa;hvørva, minka, tynnast burtur í einki;ikki eydnast væl;ikki spyrjast, verða væl burturúr;ikki spæla væl av;koma e-m til fals;koma fyri óhapp;koma illa av skafti;koma illa á skaft(ið);koma illa fyri;koma illa í hald hjá e-m;koma upp í einki;laga, legna seg illa;rigga illa;sláa frá;spæla illa av;taka seg illa upp;verða av, at ongum;verða fyri óhappi(num);verða galin endi;vilja illa til;□einki, lítið kemur av skafti, burturúr;einki var boðið;e-t verður e-m at falli;har kurtaðist, skúrsaðist einki;hetta var mær sár um hógv;nú er spælið spilt;nú fór snyril í;nú fór tjóleggurin úr mjødnini;nú, tað gongur av skriðuni;tað gongur av hundunum til;tað gongur bara aftur á hond;tað gongur ikki tvey fyri eitt;tað gongur ongan veg;tað gongur sum á kluftagróti, skeringi↔brotin,brotna,glataður,hilnast illa,neyðkomin,oyðileggjast,óbøtiligur,óheppin,ólagna,ólukkutíð,spell,vandi,vansketniAndheiti:eydnast væl
misfarast	símiseydnast,oyðileggjast,umfarast
misfatan	sískeivleiki
misfostur	síkryplingur
misføðing	símissa fostur
misføðingur	sífostur
misgáa	sívansketni
misgáus	sítilviljandi
misgerð	síbrotsverk
misgerningur	síbrotsverk
misgongd	símáttloysi
misgruni	síillgruni
mishald	síbrotsverk
mishalda	sísvika
mishalga	síhátíð
mishalgidagur	síhátíð
mishalgikvøld	síhátíð
misháttaður	sívanæruligur
misháttligur	símisháttur
misháttur	Samheiti:andskræmiligur,andstyggiligur,andstyggur,avskræmiligur,elliljótur,erljótur,eygljótur,fúlsligur,fúlur,granaður,grefligur,grimmur,grimur,illavorðin,kellingarkendur,kroppljótur,misháttligur,nasaljótur,leiður,ljótligur,ljótur,ovurljótur,ófríður,ógóðsligur,ónossligur,óráðiligur,ósjónligur,ósýniligur,ósýnligur,ótespiligur,óvakur,spýggjuligur,vamlisligur,viðurstyggiligurgrefligur, grimur, ljótur á at líta, í andliti, í ásjón;lítið ásýniligur, ásýnligur, lítið vakur;ljótur sum arvasyndin, sum eitt barkgrev, sum tramin;ljótur sum illimaður í mánalýsi, mánaskini;□andlitið, gronin er sum ein fløkt gággulína, kúvingalína;hann býður sær einki út, váttar sær einki;hann sær einki, lítið, lítið og einki út fyri verðini;skonin er sum ein skránaður hýsuknokkur, sum eitt barkgrev↔ljótkast,misprýða,óskapiligur,ræðandi,ræðumyndAndheiti:fríðdæmdur,snotiligur,vakur
mishepnast	símiseydnast
mishop	símótloysi
mishoyra	símistaka seg
mishoyring	sískeivleiki
mishugaligur	síkeðiligur,ræðandi
mishugur	símótvilji
mishýrur	sítunglyndi,vreiði
misjavni	símunur
misjavnur	sífjølbroyttur,mislyntur,umskiftiligur
miskenna	símistaka seg,villast
miskenning	sískeivleiki
misklæða	símisprýða
miskomast	sívantrívast
miskunn	sífyrigeving
miskunnarbiti	sísindur
miskunnargerð	síhjálp
miskunnarleysur	síharðhjartaður,mannvándur
miskunnarloysi	síóndskapur
miskunnarverk	síhjálp
miskunnleysur	síharðhjartaður,mannvándur
miskunnligur	sítolin
miskunnsamur	sítolin
miskunnsemi	sífyrigeving
mislag	símótloysi,tunglyndi,vavstur,vreiði
misleggja	síkrógva
misleiða	sísvika
mislesa	sílesa,mistaka seg
mislesing	sískeivleiki
mislestur	sískeivleiki
mislitaður	sílitaður,litfarin
mislittur	sílitaður,litfarin
mislitur	sílittóni
mislíka	síhata
misljóð	síbrek,ljóð,munur,ósemja
misljóða	síljóða
misljóðandi	síósannlíkurSamheiti:falskur,skorrandi,skurrandiikki reinur;við misljóði
mislukkast	símiseydnast
mislyntur	Samheiti:fjøllyndur,fjøllyntur,margbroyttur,marghøvdaður,misjavnur,ójavnsintur,skiftandi,ymisháttaður,ymisvorðinójavnt, sjáldsama, undarliga sintur;○sum hevur misjavnt orðalag, sinnalag;□ein veit ikki hvar ein hevur hann;hann er hálur um at halda;hann er ringur at hava við at gera, ringur at rokna út;hann er skjótur hvønn vegin;hann er sum ein kálkað grøv;hansara kvørn melur ikki altíð hveiti;tað er eftir happum og hátíðum;tað er soleiðis upp og niður við honum;tað er so ymiskt sum...;tað er sum lagið er, sum hann er stjølaður til;tað er sum reykurin stendur;tað ríður av og á(áfallin)sjáldsama góður við summi og ikki við summi (uttan orsøk)↔fjølbroyttur,sinnaður,sinnalag,støðuveikur,svikafullur,umskiftiligur
misløga	síhindur,skeivleiki
mismarka	símistaka seg
mismenni	sípinkulingur
mismennið	síannarleiðis
mismenniligur	síúrklænur
mismeta	símistaka seg,spotta
mismeting	sískeivleiki
misminnast	sígloyma,mistaka seg
misminni	sígloymska,skeivleiki
mismjólka	símistaka seg
mismunur	símunur
mismæli	síbaktal,eyðmýking,skeivleiki
misnýta	síkradda,oyðsla burtur
misnýtari	síoyðslari
misnýtsla	síoyðslusemi
misnøgd	símótvilji
misnøgdarorð	símótvilji
misnøgdur	síónøgdur
misnøgi	símótvilji
misprent	sískeivleiki
misprenta	símistaka seg
misprenting	sískeivleiki
misprýða	Samheiti:lýta,misklæða,skemmagera ljótan, misháttan o.fl.;hóska, klæða, rigga, sita illa;standa e-m illa;vera e-m til lýtis↔brek,ljótkast,mishátturAndheiti:hóska væl
misprýði	síbrek,kloddaarbeiði
misrokna	símistaka seg
misrokning	sískeivleiki
misrøkja	sívanrøkja
misrøkt	síórøkiskapur
missa	sílorka burtur,losna,raka skeivt
missa fostur	Samheiti:hitta reisfara illa, skeiv;fáa mistak;kasta, missa burtur;missa ófullborið barn(ófullborin)barn ikki komið á tíð;ófullborið barn(burturkastaður)burturkastað barn;mist fostur(deyðføddur)deyðborin,deyðfolaðdeyður í móðurlívi;føddur andleysur, lívleysur;□andleyst føtt barn;deyðføtt barn(fosturlát)misføðingmissa fostur(fosturtøka)taka fostur(kálvskjótast)hitta reis, kasta burtur (um kúgv)(kálvskotin)fylskotin,lambgeld,lambsgeld,lambskotinfáa mistak;mistakast t.e. lemba ov tíðliga;verpa bleytt↔fostur,føða,geldur,kviðin,nørast,tvílívað
missa skalið	Samheiti:flísna,flusna,paða,hamsaleypast,skáldafáa, hava hamsalop;fáa uttanav;gerast hamsalopin;kasta húðina;missa skalið;□tað dettur, flusnar, skáldar o.fl. av í pettum, stykkjum↔burturav,koyra uttanav
missa starvið	fáa durafjórðingin, fótin, reyða kortið, sekkin, sparkið, uppsøgn;missa embætið, kjólan, plássið, sessin;verða avkoyrdur, avsettur, burturrikin, frákoyrdur, uppsagdur o.fl.;verða dømdur frá embæti;verða koyrdur, loystur, sagdur úr starvi, rendur, settur av, frá;verða koyrdur, rendur av bátinum, skipinum, í land;verða koyrdur, settur frá, úr embæti, starvi;verða sjuggaður, sjúggaður, sjúgvaður, skumpaður til síðis, til viks;verða tikin av ráði, ræði(verða útkoyrdur)fáa (givnan, vístan) durafjórðingin;liggja fyri útrakstri;verða burtursagdur, burturtrokaður, fjónaður, forfjónaður, úrlimaður, útvístur o.fl.;verða koyrdur, rikin, tveittur av húsunum, á dyr, gátt, burtur, út o.fl.;verða rikin av bygdini, landinum, á flótta;verða rikin av garði;verða útblakaður, útfrystur, útkoyrdur, útrendur, úttveittur;verða útihýstur, útilæstur, útistongdur↔avlagdur,frákoyrdur,reka úr starvi
missa úr eygsjón	ikki finna, raka við e-t aftur;ikki hóma, síggja, skríma, tekkja e-t longur;missa burtur;missa burtur úr sjónarmáli;missa e-t av radaranum;missa eyguni av e-m;missa úr eygsýni↔hyggja,oygdur,síggja
missiga	símistaka seg
missión	síkristning
missiónshús	síbygningur
misskilja	símistaka seg
misskiljing	sískeivleiki
misskilningur	sískeivleiki
misskot	síbyrsuskot
misskriving	sískeivleiki
misslag	sískeivleiki
misspor	sífall
misstig	sífall,skeivleiki
misstíga	sísnáva
missur	Samheiti:eftirsjón,fíggjarskaði,grasspell,inntøkumissur,jarðspell,kneyk,lissur,orkuspell,saknaður,saknur,seyðspell,skaði,skarð,skák,smeit,smeitur,spell,stórtap,svinn,tap,veiðispell↔hall,fátækt,fátækur,lorka burtur,minking,óár,ósigur,tapa,tapari,tróta,tørvur,uttanhanda
missýni	sískeivleiki
missøgn	sískeivleiki
mistak	sískeivleiki
mistaka	símistaka seg
mistaka seg	Samheiti:blanda,kiksa,miskenna,mislesa,mismarka,mismeta,misminnast,mismjólka,misprenta,missiga,misskilja,mistaka,mistýðablanda (saman);fara skeivur;fata, hoyra, kenna, skilja skeivt;fáa e-t í rangastrúpan;gera mistak, mistøk;lesa ótt, skeivt;minnast skeivt;mishoyra, misrokna seg;missa talið;taka feil;vera rangmintur;villast í tí↔gloyma,lúgva,ósannindi,ósannur,skeivleiki,tvørsagdur
misteljing	sískeivleiki
mistokki	símótvilji
mistreyst	símótloysi
mistreysti	símótloysi
mistrivnast	sívantrívast
mistrivni	símáttloysi
mistrivningur	símáttloysi,pinkulingur,seyður
mistrívast	sívantrívast
mistrúgv	síivasemi
mistrúgva	Samheiti:vantrúgva(illteinkja)illgita,illgruna,illhugsaeinki, lítið trúgva upp á e-t;hava misálit, mistrúgv, illgruna, tortrygni o.fl.;hava skálkin aftan fyri oyra;hava skálkin við e-m;hava svenska trúgv til, upp á e-t;ikki hava álit á, ikki líta á, ikki trúgva;ikki trúgva e-m longri enn til tenninar, tannana;ikki trúgva e-m um tvøra gátt;ivast í e-m, um e-t;leggja e-n undir illgruna;seta spurnartekn við e-t↔illgrunaverdur,illgruni,illtrúgvin,ivasemi,ivastAndheiti:líta á
mistrúgvin	síilltrúgvin
mistrúni	síivasemi
mistur	síglataður
mistykki	símótvilji
mistýða	símistaka seg
mistýðing	sískeivleiki
misunna	sítráa
misvirða	síspotta
misvirðing	síeyðmýking
misvísningur	Samheiti:skeivleiki,undanburður↔skeivleiki
misvøkstur	símáttloysi
mitt	síjúst
mitta	sílikam
mittfjørður	sífjørður
mittkubb	sílikam
mittrúmsbekkur	sísessur
mittstykki	sílikam
míga	sípissa
mígfullur	sídrukkin
mínsjálvsmaður	sífrímaður
mírast	sísmílast
mjadnabreiður	síhovin
mjadnarliður	síliður
mjadnarskøði	síhúð
mjadnaskjótast	síbogna
mjadnlittur	sílitaður
mjaldra	síendurtaka
mjallhvítur	sílitaður
mjarasligur	síúrklænur
mjaravøttur	sínjarðarvøttur
mjarligur	síúrklænur
mjarma	sískríggja
mjarr	sígremjan,skríggj
mjarra	síljóða,skríggja
mjarraligur	síúrklænur
mjarran	sígremjan,skríggj
mjarrasligur	síúrklænur
mjarravøttur	sínjarðarvøttur
mjarrisligur	sísmásárur
mjas	síítriv
mjasasligur	síúrklænur
mjasast	síletast
mjaska	síherkja
mjatla	síeta,herkja
mjavma	sískríggja
mjavv	sískríggj
mjavva	sískríggja
mjábeintur	síbeintur
mjádd	sístrekki
mjái	sírók
mjálkafiskur	sífiskur,kallvera
mjálkakalvi	sífiskur,kallvera
mjálkasild	sífiskur,kallvera
mjálki	síísáð
